,Name,Platform,Year_of_Release,Genre,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Rating
4259,Star Wars: Demolition,PS,2000.0,Racing,0.46,63.0,11.0,6.5,6.0,T
4260,Bloody Roar II,PS,1999.0,Fighting,0.46,,,,,
4261,Delta Force: Black Hawk Down,PS2,2005.0,Shooter,0.46,58.0,25.0,8.8,51.0,T
4262,The Princess and the Frog,Wii,2009.0,Platform,0.46,,,7.13,,E
4263,Space Invaders,SNES,1994.0,Shooter,0.46,,,,,
4264,.hack//Outbreak Part 3,PS2,2002.0,Role-Playing,0.46,70.0,23.0,8.7,19.0,T
4265,Mother 1+2,GBA,2003.0,Role-Playing,0.46,,,,,
4266,MX vs. ATV Untamed,PS3,2007.0,Racing,0.46,67.0,33.0,6.1,8.0,E
4267,Boom Blox Bash Party,Wii,2009.0,Puzzle,0.46,86.0,48.0,8.4,37.0,E
4268,Top Spin,XB,2003.0,Sports,0.46,89.0,44.0,8.2,31.0,E
4269,Brothers In Arms: D-Day,PSP,2006.0,Shooter,0.46,65.0,19.0,9.1,64.0,M
4270,Warhawk,PS,1995.0,Simulation,0.46,,,,,
4271,The Golden Compass,X360,2007.0,Action,0.46,41.0,25.0,4.1,14.0,E10+
4272,Tomb Raider: Legend,PSP,2006.0,Action,0.46,67.0,28.0,7.9,30.0,T
4273,Just Dance 2014,XOne,2013.0,Misc,0.45,71.0,6.0,7.0,58.0,E10+
4274,Tales of Vesperia,PS3,2009.0,Role-Playing,0.45,,,,,
4275,2 Games in 1: SpongeBob SquarePants: SuperSponge & Rugrats Go Wild,GBA,2005.0,Platform,0.45,,,,,
4276,Dora The Explorer: Dora Saves the Snow Princess,DS,2008.0,Platform,0.45,,,,,
4277,Missile Command,PS,1999.0,Shooter,0.45,,,,,
4278,FIFA 15,3DS,2014.0,Sports,0.45,,,2.4,35.0,E
4279,Jikkyou Powerful Pro Yakyuu 3,SNES,1996.0,Sports,0.45,,,,,
4280,Jikkyou Powerful Pro Yakyuu 12,PS2,2005.0,Sports,0.45,,,,,
4281,Enter the Matrix,GC,2003.0,Action,0.45,63.0,23.0,8.0,45.0,T
4282,LEGO The Hobbit,X360,2014.0,Action,0.45,70.0,4.0,8.7,11.0,E10+
4283,NASCAR 2005: Chase for the Cup,XB,2004.0,Racing,0.45,86.0,16.0,7.13,,E
4284,J-League Excite Stage '95,SNES,1995.0,Sports,0.45,,,,,
4285,Vin Diesel: Wheelman,X360,2009.0,Racing,0.45,,,,,
4286,NHL 15,X360,2014.0,Sports,0.45,,,2.8,47.0,E10+
4287,Phantasy Star Online Episode I & II,GC,2002.0,Role-Playing,0.45,,,,,
4288,PlayStation All-Stars Battle Royale,PSV,2012.0,Action,0.45,75.0,15.0,7.5,221.0,T
4289,The Powerpuff Girls: Relish Rampage,PS2,2002.0,Action,0.45,46.0,5.0,6.8,5.0,E
4290,Bleach: The Blade of Fate,DS,2006.0,Fighting,0.45,83.0,32.0,7.5,23.0,T
4291,American Girl: Kit Mystery Challenge!,DS,2008.0,Adventure,0.45,,,7.13,,E
4292,Country Dance 2,Wii,2011.0,Misc,0.45,,,7.13,,E10+
4293,The Chronicles of Riddick: Escape from Butcher Bay,XB,,Shooter,0.45,89.0,84.0,8.9,85.0,M
4294,NFL Head Coach,PS2,2006.0,Sports,0.45,66.0,22.0,6.9,15.0,E
4295,Ghostbusters,2600,1985.0,Puzzle,0.45,,,,,
4296,Nickelodeon Team Umizoomi,DS,2011.0,Action,0.45,,,7.13,,EC
4297,NCAA Gamebreaker 99,PS,1998.0,Sports,0.45,,,,,
4298,Tomb Raider: Underworld,Wii,2008.0,Action,0.45,70.0,12.0,7.2,20.0,T
4299,Area 51,PS2,2005.0,Shooter,0.45,75.0,37.0,8.4,52.0,M
4300,World Stadium 2,PS,1998.0,Sports,0.45,,,,,
4301,NHL 2005,PS2,2004.0,Sports,0.45,75.0,21.0,8.3,23.0,E
4302,The New York Times Crosswords,DS,2007.0,Puzzle,0.45,79.0,15.0,6.7,6.0,T
4303,Karaoke Revolution Presents American Idol Encore,Wii,2008.0,Misc,0.45,,,7.8,21.0,E
4304,Barbie as The Island Princess,Wii,2007.0,Adventure,0.45,,,7.13,,E
4305,Lego Batman 3: Beyond Gotham,3DS,2014.0,Action,0.45,,,6.4,7.0,E10+
4306,iCarly,Wii,2009.0,Adventure,0.45,,,7.13,,E
4307,Star Wars Jedi Knight: Jedi Academy,XB,2003.0,Shooter,0.45,76.0,30.0,8.7,30.0,T
4308,Phoenix,2600,1981.0,Simulation,0.45,,,,,
4309,Dynasty Warriors: Strikeforce,PSP,2009.0,Action,0.45,65.0,28.0,6.8,10.0,T
4310,Brain Challenge,DS,2008.0,Misc,0.45,68.0,7.0,7.0,4.0,E
4311,Command & Conquer: Red Alert 3,X360,2008.0,Strategy,0.45,,,,,
4312,Enemy Territory: Quake Wars,X360,2008.0,Shooter,0.45,69.0,54.0,7.3,26.0,T
4313,Major League Baseball 2K11,X360,2011.0,Sports,0.45,69.0,27.0,6.8,24.0,E
4314,Harvest Moon DS (US sales),DS,2005.0,Simulation,0.45,,,,,
4315,Apocalypse,PS,1998.0,Action,0.45,,,,,
4316,ATV Offroad Fury Pro,PSP,2006.0,Racing,0.45,76.0,32.0,7.13,,E
4317,Burnout Dominator,PSP,2007.0,Racing,0.45,76.0,23.0,8.2,27.0,E10+
4318,Yu-Gi-Oh! Destiny Board Traveler,GBA,2004.0,Misc,0.45,,,,,
4319,God Eater 2,PSV,2013.0,Role-Playing,0.45,,,,,
4320,Scooby-Doo! and the Spooky Swamp,Wii,2010.0,Action,0.45,,,,,
4321,Crash of the Titans,Wii,2007.0,Action,0.45,69.0,16.0,5.8,22.0,E10+
4322,World Soccer Winning Eleven 5 Final Evolution,PS2,2001.0,Sports,0.45,,,,,
4323,Red Faction: Armageddon,PS3,2011.0,Shooter,0.45,71.0,52.0,7.3,58.0,M
4324,Sphinx and the Cursed Mummy,PS2,2003.0,Action,0.45,,,,,
4325,Fatal Fury 2,SNES,1993.0,Fighting,0.45,,,,,
4326,Rampage World Tour,N64,1998.0,Action,0.45,,,,,
4327,Pokemon Puzzle League,N64,2000.0,Puzzle,0.45,,,,,
4328,PES 2009: Pro Evolution Soccer,Wii,2009.0,Sports,0.45,,,,,
4329,Despicable Me: The Game - Minion Mayhem,DS,2010.0,Puzzle,0.45,,,,,
4330,Lego Batman 3: Beyond Gotham,WiiU,2014.0,Action,0.45,,,7.0,20.0,E10+
4331,Tekken Advance,GBA,2001.0,Fighting,0.45,82.0,14.0,8.2,13.0,T
4332,Shin Megami Tensei: Persona 3,PS2,2006.0,Role-Playing,0.45,86.0,52.0,8.4,116.0,M
4333,Persona,PS,1995.0,Role-Playing,0.45,,,,,
4334,Hot Wheels: Stunt Track Challenge,GBA,2004.0,Racing,0.45,,,7.13,,E
4335,My Fashion Studio,DS,2007.0,Misc,0.45,,,6.8,6.0,E
4336,Maze Craze: A Game of Cops 'n Robbers,2600,,Action,0.45,,,,,
4337,Mobile Suit Gundam,PS,1995.0,Action,0.45,,,,,
4338,TNA iMPACT!,X360,2008.0,Fighting,0.45,,,,,
4339,Pirates of the Caribbean: At World's End,Wii,2007.0,Action,0.45,53.0,17.0,7.2,17.0,T
4340,Bee Movie Game,DS,2007.0,Action,0.45,58.0,9.0,7.13,,E
4341,Sega Rally Revo,X360,2007.0,Racing,0.45,77.0,42.0,7.2,30.0,E
4342,SingStar Take That,PS2,2009.0,Misc,0.45,,,,,
4343,Final Fantasy Collection,PS,1999.0,Role-Playing,0.45,,,,,
4344,Disney Sing It! High School Musical 3: Senior Year,PS2,2008.0,Misc,0.45,,,,,
4345,Samurai Warriors: Xtreme Legends,PS2,2004.0,Action,0.45,72.0,17.0,8.6,13.0,T
4346,LEGO Rock Band,DS,2009.0,Misc,0.45,80.0,8.0,7.5,6.0,E
4347,NHL FaceOff,PS,1994.0,Sports,0.45,,,,,
4348,WWE WrestleMania 21,XB,2005.0,Fighting,0.45,56.0,48.0,6.9,47.0,T
4349,NBA Live 2005,GC,2004.0,Sports,0.45,83.0,17.0,6.7,7.0,E
4350,F.E.A.R. 3,PS3,2011.0,Shooter,0.45,74.0,48.0,7.1,103.0,M
4351,Defender II,2600,1987.0,Shooter,0.45,,,,,
4352,WWE Day of Reckoning,GC,2004.0,Fighting,0.45,79.0,47.0,9.1,81.0,T
4353,NBA Live 10,X360,2009.0,Sports,0.45,80.0,40.0,7.7,37.0,E
4354,ATV Quad Power Racing 2,XB,2003.0,Racing,0.45,68.0,17.0,7.13,,E
4355,Harry Potter and the Deathly Hallows - Part 1,X360,2010.0,Action,0.45,38.0,42.0,5.0,46.0,T
4356,Walt Disney World Quest: Magical Racing Tour,PS,2000.0,Racing,0.45,,,,,
4357,Pro Evolution Soccer 2017,PS4,2016.0,Sports,0.45,85.0,61.0,7.6,478.0,E
4358,Sled Storm,PS2,2002.0,Racing,0.45,73.0,22.0,7.7,6.0,T
4359,Vandal Hearts,PS,1996.0,Role-Playing,0.45,,,,,
4360,Dead or Alive: Dimensions,3DS,2011.0,Fighting,0.45,79.0,62.0,8.2,113.0,T
4361,Disney Infinity 3.0,PS3,2015.0,Action,0.45,,,,,
4362,We Sing Encore,Wii,2010.0,Misc,0.45,,,,,
4363,Wolfenstein: The New Order,PC,2014.0,Shooter,0.45,81.0,23.0,8.2,1647.0,M
4364,Deadpool,PS3,2013.0,Action,0.45,61.0,27.0,7.2,221.0,M
4365,Jawbreaker,2600,1981.0,Action,0.45,,,,,
4366,Scooby-Doo! Mystery Mayhem,PS2,2004.0,Action,0.45,,,,,
4367,Watch Dogs,PC,2014.0,Action,0.45,77.0,18.0,4.7,3288.0,M
4368,Mario Golf: Advance Tour,GBA,2004.0,Sports,0.45,84.0,38.0,8.6,14.0,E
4369,Celebrity Sports Showdown,Wii,2008.0,Sports,0.45,50.0,12.0,4.6,18.0,E
4370,F.E.A.R. 3,X360,2011.0,Shooter,0.45,75.0,71.0,7.0,139.0,M
4371,Disney Guilty Party,Wii,2010.0,Misc,0.45,78.0,13.0,8.0,4.0,E
4372,Silent Hill: Homecoming,X360,,Action,0.45,70.0,54.0,6.9,180.0,M
4373,Yu-Gi-Oh! Capsule Monster Coliseum,PS2,2004.0,Misc,0.44,,,,,
4374,"Warhammer 40,000: Space Marine",PS3,2011.0,Shooter,0.44,70.0,46.0,7.4,162.0,M
4375,Discovery Kids: Kitten Corner,DS,2009.0,Simulation,0.44,,,7.13,,E
4376,Rock Band Country Track Pack,Wii,2009.0,Misc,0.44,,,7.13,,E10+
4377,Major League Baseball 2K6,PS2,2006.0,Sports,0.44,70.0,19.0,5.2,27.0,E
4378,Brunswick Pro Bowling,X360,2010.0,Sports,0.44,44.0,4.0,7.13,,E
4379,Jampack Volume 13 (RP-M),PS2,2005.0,Misc,0.44,,,,,
4380,World Soccer Winning Eleven 9,XB,2005.0,Sports,0.44,89.0,19.0,7.9,9.0,E
4381,NBA Live 2000,N64,1999.0,Sports,0.44,,,,,
4382,Teenage Mutant Ninja Turtles 2: Battle Nexus,PS2,2004.0,Action,0.44,47.0,25.0,7.8,12.0,T
4383,"SpongeBob SquarePants: Lights, Camera, Pants!",PS2,2005.0,Misc,0.44,,,,,
4384,The Thing,PS2,2002.0,Adventure,0.44,78.0,27.0,7.4,41.0,M
4385,Van Helsing,PS2,2004.0,Action,0.44,64.0,41.0,8.5,19.0,T
4386,Mario Tennis Ultra Smash,WiiU,2015.0,Sports,0.44,58.0,58.0,5.3,133.0,E
4387,Virtua Tennis 4,PS3,2011.0,Sports,0.44,69.0,49.0,6.6,28.0,E
4388,X-Men Legends II: Rise of Apocalypse,XB,2005.0,Role-Playing,0.44,84.0,50.0,8.7,199.0,T
4389,Naruto Shippuden: Ultimate Ninja Storm Generations,X360,2012.0,Fighting,0.44,74.0,35.0,7.2,47.0,T
4390,Wolfenstein: The New Order,PS3,2014.0,Shooter,0.44,,,7.1,115.0,M
4391,Skylanders: Trap Team,PS4,2014.0,Action,0.44,78.0,46.0,5.6,32.0,E10+
4392,Worms: Open Warfare 2,PSP,2007.0,Strategy,0.44,80.0,26.0,8.1,25.0,E10+
4393,Transformers: Revenge of the Fallen (Wii & PS2 Version),DS,2009.0,Action,0.44,,,,,
4394,Spawn: Armageddon,PS2,2003.0,Action,0.44,56.0,33.0,7.4,21.0,M
4395,The Godfather (US sales),XB,2006.0,Action,0.44,,,,,
4396,Sid Meier's Civilization Revolution,DS,2008.0,Strategy,0.44,80.0,26.0,7.7,21.0,E10+
4397,World Stadium EX,PS,1996.0,Sports,0.44,,,,,
4398,Tiger Woods PGA Tour 2003,XB,2002.0,Sports,0.44,88.0,14.0,8.5,11.0,E
4399,Battlefield 2: Modern Combat,PS2,2005.0,Shooter,0.44,80.0,42.0,8.5,65.0,T
4400,50 Cent: Bulletproof,XB,2005.0,Action,0.44,50.0,14.0,5.9,21.0,M
4401,Densetsu no Stafi 2,GBA,2003.0,Platform,0.44,,,,,
4402,Independence Day,PS,1997.0,Shooter,0.44,,,,,
4403,Tony Hawk's Proving Ground,PS3,2007.0,Sports,0.44,73.0,36.0,6.6,17.0,T
4404,Chocobo Racing,PS,1999.0,Racing,0.44,,,,,
4405,Disney Infinity 2.0: Marvel Super Heroes,XOne,2014.0,Action,0.44,,,,,
4406,LEGO Star Wars II: The Original Trilogy,XB,2006.0,Action,0.44,85.0,27.0,8.6,15.0,E10+
4407,Viking: Battle for Asgard,X360,2008.0,Action,0.44,68.0,67.0,8.0,88.0,M
4408,Petz: Catz 2,Wii,2007.0,Simulation,0.44,,,5.8,6.0,E
4409,Dragon Quest Heroes: Rocket Slime,DS,2005.0,Action,0.44,83.0,41.0,7.6,45.0,E
4410,Gundam SEED: Federation vs. Z.A.F.T.,PS2,2005.0,Shooter,0.44,,,,,
4411,Ms. Pac-Man Maze Madness,PS,2000.0,Puzzle,0.44,,,,,
4412,Blood Omen: Legacy of Kain,PS,1996.0,Role-Playing,0.44,,,,,
4413,Super Bomberman 4,SNES,1996.0,Puzzle,0.44,,,,,
4414,Fable,X360,2014.0,Role-Playing,0.44,,,,,
4415,Family Fest Presents Circus Games,Wii,2008.0,Misc,0.44,,,7.13,,E
4416,Dance Dance Revolution: Hottest Party 3,Wii,2009.0,Simulation,0.44,66.0,5.0,8.2,5.0,E10+
4417,Bomberman II,NES,1991.0,Puzzle,0.44,,,,,
4418,Duke Nukem 64,N64,1997.0,Shooter,0.44,,,,,
4419,Transformers: Dark of the Moon - Autobots/Decepticons,DS,2011.0,Action,0.44,,,,,
4420,The Urbz: Sims in the City (all regions sales),DS,2004.0,Simulation,0.44,,,,,
4421,"SpongeBob SquarePants: Lights, Camera, Pants!",GC,2005.0,Misc,0.44,,,,,
4422,Super Robot Taisen OG: Original Generations,PS2,2007.0,Strategy,0.44,,,,,
4423,G-Force,Wii,2009.0,Action,0.44,69.0,6.0,8.0,6.0,E10+
4424,Army Men World War: Final Front,PS,2001.0,Action,0.44,,,,,
4425,Transformers: Fall of Cybertron,X360,2012.0,Action,0.44,79.0,52.0,8.3,160.0,T
4426,SOCOM: U.S. Navy SEALs Fireteam Bravo 3,PSP,2010.0,Shooter,0.44,74.0,51.0,8.0,20.0,T
4427,MX Unleashed,XB,2004.0,Racing,0.44,81.0,18.0,9.3,12.0,E
4428,Puppy Luv: Spa and Resort,DS,2007.0,Simulation,0.44,,,7.13,,E
4429,Jikkyou Powerful Pro Yakyuu 9,PS2,2002.0,Sports,0.44,,,,,
4430,Grind Session,PS,2000.0,Sports,0.44,,,,,
4431,Naruto: Gekito Ninja Taisen! 3,GC,2004.0,Fighting,0.44,,,,,
4432,Madden NFL 12,Wii,2011.0,Sports,0.44,,,6.2,5.0,E
4433,Wario World,GC,2003.0,Platform,0.44,71.0,30.0,7.2,44.0,E
4434,DmC: Devil May Cry,X360,2013.0,Action,0.44,86.0,65.0,5.1,1438.0,M
4435,Scooby-Doo! Mystery Mayhem,GBA,2003.0,Action,0.44,53.0,6.0,7.13,,E
4436,Super Breakout,2600,,Puzzle,0.44,,,,,
4437,FIFA Soccer 13,PSV,2012.0,Action,0.44,57.0,9.0,4.1,89.0,E
4438,The Legend of Spyro: Dawn of the Dragon,PS3,2008.0,Platform,0.44,59.0,22.0,6.6,36.0,E10+
4439,Taiko no Tatsujin: Doki! Shinkyoku Darake no Haru Matsuri,PS2,2003.0,Misc,0.44,,,,,
4440,Samurai Warriors 3,Wii,2009.0,Action,0.44,55.0,26.0,7.2,22.0,T
4441,Ben 10 Alien Force: Vilgax Attacks,Wii,2009.0,Action,0.44,65.0,5.0,4.0,6.0,E10+
4442,TimeSplitters 2,GC,2002.0,Shooter,0.44,88.0,18.0,9.0,65.0,T
4443,Battlebots: Design & Destroy,GBA,2003.0,Action,0.44,,,,,
4444,Robert Ludlum's The Bourne Conspiracy,X360,,Action,0.44,71.0,72.0,7.2,63.0,T
4445,Eternal Darkness: Sanity's Requiem,GC,2002.0,Adventure,0.44,92.0,41.0,8.7,173.0,M
4446,Food Network: Cook or Be Cooked,Wii,2009.0,Misc,0.44,53.0,8.0,6.8,5.0,E
4447,Power Rangers: S.P.D.,GBA,2004.0,Action,0.44,,,7.13,,E10+
4448,Naruto: Ultimate Ninja 3,PS2,2005.0,Fighting,0.44,75.0,24.0,8.7,33.0,T
4449,The Darkness,X360,2007.0,Shooter,0.44,82.0,63.0,8.1,196.0,M
4450,Thrillville: Off the Rails,Wii,2007.0,Strategy,0.44,70.0,14.0,2.8,40.0,E10+
4451,Jump Start Pet Rescue,Wii,2009.0,Misc,0.44,,,,,
4452,SingStar Motown,PS2,2009.0,Misc,0.44,,,,,
4453,Child of Eden,X360,2011.0,Shooter,0.44,84.0,81.0,7.7,95.0,E10+
4454,Neon Genesis Evangelion,SAT,1996.0,Adventure,0.44,,,,,
4455,Mobile Suit Gundam: One Year War,PS2,2005.0,Action,0.44,,,,,
4456,Spider-Man: Shattered Dimensions,PS3,2010.0,Action,0.44,74.0,57.0,7.5,96.0,T
4457,Tongari Boushi to Mahou no Otana,DS,2010.0,Simulation,0.44,,,,,
4458,NFL Blitz 20-03,PS2,2002.0,Sports,0.44,73.0,15.0,8.6,5.0,E
4459,SpongeBob's Atlantis SquarePantis,PS2,2007.0,Action,0.44,,,7.13,,E
4460,Eternal Sonata,PS3,2008.0,Role-Playing,0.44,80.0,34.0,7.8,117.0,T
4461,SingStar Queen,PS3,2009.0,Misc,0.44,,,,,
4462,Karaoke Revolution,Wii,2009.0,Misc,0.44,63.0,4.0,7.13,,T
4463,Star Wars: Jedi Starfighter,XB,2002.0,Simulation,0.44,78.0,22.0,5.2,5.0,T
4464,Walk it Out!,Wii,2010.0,Sports,0.44,,,,,
4465,Classic NES Series: Metroid,GBA,2004.0,Adventure,0.43,58.0,9.0,8.6,18.0,E
4466,Nicktoons: Attack of the Toybots,Wii,2007.0,Platform,0.43,60.0,4.0,6.0,8.0,E
4467,Primal,PS2,2003.0,Action,0.43,73.0,36.0,8.6,53.0,M
4468,Need for Speed: Shift 2 Unleashed,X360,2011.0,Racing,0.43,,,,,
4469,Yu-Gi-Oh! 5D's Tag Force 4,PSP,2009.0,Strategy,0.43,,,,,
4470,Ninja Gaiden 3,PS3,2012.0,Action,0.43,58.0,43.0,5.0,152.0,M
4471,Band Hero,DS,2009.0,Misc,0.43,65.0,18.0,7.0,4.0,E10+
4472,Need for Speed Underground 2,GBA,2004.0,Racing,0.43,72.0,8.0,8.2,13.0,E
4473,Madden NFL 2002,N64,2001.0,Sports,0.43,,,,,
4474,007: Quantum of Solace,PS2,2008.0,Action,0.43,,,,,
4475,Master of Illusion,DS,2006.0,Puzzle,0.43,69.0,20.0,7.13,,E
4476,Spec Ops: Covert Assault,PS,2001.0,Shooter,0.43,,,7.13,,T
4477,SSX Tricky,XB,2001.0,Sports,0.43,88.0,22.0,8.5,11.0,E
4478,Flight Control Rocket,GBA,2005.0,Simulation,0.43,,,,,
4479,Tetris Axis,3DS,2011.0,Puzzle,0.43,74.0,33.0,6.8,28.0,E
4480,Borderlands: The Handsome Collection,XOne,2015.0,Shooter,0.43,80.0,11.0,7.8,119.0,M
4481,Sleeping Dogs,PS4,2014.0,Action,0.43,,,,,
4482,"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",PS2,2005.0,Action,0.43,68.0,36.0,8.4,17.0,T
4483,NiGHTS into dreams...,SAT,1996.0,Platform,0.43,,,,,
4484,Star Wars The Clone Wars: Republic Heroes,PS3,2009.0,Action,0.43,43.0,22.0,5.3,16.0,T
4485,NCAA Football 2004,XB,2003.0,Sports,0.43,88.0,13.0,8.8,19.0,E
4486,Bionicle,PS2,2003.0,Action,0.43,51.0,7.0,3.6,16.0,E
4487,Hyrule Warriors,3DS,2016.0,Action,0.43,,,,,
4488,DanceStar Party,PS3,2011.0,Misc,0.43,,,,,
4489,Naruto Shippuden: Ultimate Ninja Storm Revolution,PS3,2014.0,Fighting,0.43,73.0,26.0,7.5,100.0,T
4490,Naughty Bear,PS3,2010.0,Action,0.43,43.0,31.0,5.5,49.0,T
4491,MLB 2002,PS,2001.0,Sports,0.43,76.0,5.0,8.1,8.0,E
4492,Deadpool,X360,2013.0,Action,0.43,62.0,49.0,7.4,368.0,M
4493,Lego Batman 3: Beyond Gotham,XOne,2014.0,Action,0.43,74.0,25.0,7.1,36.0,E10+
4494,MLB 14: The Show,PS3,2014.0,Sports,0.43,81.0,26.0,6.8,79.0,E
4495,Devil May Cry HD Collection,X360,2012.0,Action,0.43,77.0,32.0,8.4,93.0,M
4496,Hyperdimension Neptunia,PS3,2010.0,Role-Playing,0.43,45.0,31.0,7.0,148.0,T
4497,TimeSplitters,PS2,2000.0,Shooter,0.43,81.0,23.0,8.0,40.0,T
4498,Barnstorming,2600,1981.0,Action,0.43,,,,,
4499,InuYasha: The Secret of the Cursed Mask,PS2,2004.0,Role-Playing,0.43,51.0,7.0,8.1,28.0,T
4500,The Powerpuff Girls: Him and Seek,GBA,2002.0,Platform,0.43,,,,,
4501,Mega Man Zero 2,GBA,2003.0,Platform,0.43,81.0,17.0,8.6,18.0,E
4502,My Spanish Coach,DS,2007.0,Misc,0.43,73.0,7.0,7.13,,E
4503,Wonder Project J: Kikai no Shonen Pino,SNES,1994.0,Simulation,0.43,,,,,
4504,Payday 2,PS3,2013.0,Shooter,0.43,74.0,12.0,6.2,181.0,M
4505,WWE 2K16,X360,2015.0,Sports,0.43,,,5.4,25.0,T
4506,Dragon Ball Z: Shin Budokai - Another Road,PSP,2007.0,Fighting,0.43,,,,,
4507,The Fairly Odd Parents: Game Boy Advance Video Volume 1,GBA,2004.0,Misc,0.43,,,,,
4508,Mass Effect Trilogy,PS3,2012.0,Action,0.43,,,8.7,63.0,M
4509,Ghostbusters: The Video Game,PS2,2009.0,Action,0.43,64.0,9.0,8.7,6.0,E10+
4510,Hunter: The Reckoning  Wayward,PS2,2003.0,Action,0.43,68.0,27.0,8.8,16.0,M
4511,Mischief Makers,N64,1997.0,Platform,0.43,,,,,
4512,WipEout 64,N64,1998.0,Racing,0.43,,,,,
4513,EyeToy: AntiGrav,PS2,2004.0,Sports,0.43,71.0,38.0,7.8,5.0,E
4514,Dora the Explorer: Dora Puppy,DS,2009.0,Misc,0.43,,,,,
4515,EverQuest Online Adventures,PS2,2003.0,Role-Playing,0.43,74.0,22.0,8.2,33.0,T
4516,OkamiDen,DS,2010.0,Adventure,0.43,82.0,48.0,7.9,53.0,E10+
4517,Cool Boarders,PS,1996.0,Sports,0.43,,,,,
4518,Hometown Story,3DS,2013.0,Role-Playing,0.43,47.0,14.0,6.0,24.0,E10+
4519,Just Dance 4,PS3,2012.0,Misc,0.43,77.0,5.0,7.1,29.0,E10+
4520,Mobile Suit Gundam: Zeonic Front,PS2,2001.0,Simulation,0.43,71.0,12.0,8.8,23.0,T
4521,Monopoly,PS2,2008.0,Misc,0.43,,,7.2,6.0,E
4522,TouchMaster 3,DS,2009.0,Puzzle,0.43,68.0,7.0,7.13,,E
4523,Dawn of Mana,PS2,2006.0,Role-Playing,0.43,57.0,27.0,6.8,11.0,T
4524,Castlevania: Dawn of Sorrow,DS,2005.0,Platform,0.43,89.0,52.0,8.5,171.0,T
4525,Max Payne 3,PC,2012.0,Shooter,0.43,87.0,30.0,7.6,2202.0,M
4526,Barbie: Groom and Glam Pups,DS,2010.0,Action,0.43,,,7.13,,E
4527,Tales of the World: Radiant Mythology,PSP,2006.0,Role-Playing,0.43,66.0,27.0,7.8,25.0,T
4528,Petz Bunnyz,DS,2008.0,Simulation,0.43,,,7.13,,E
4529,Alpha Protocol,PS3,2010.0,Role-Playing,0.43,64.0,49.0,6.9,117.0,M
4530,Wolfenstein: The Old Blood,PS4,2015.0,Action,0.43,76.0,54.0,8.0,267.0,
4531,Deer Drive,DS,2010.0,Sports,0.43,,,7.13,,T
4532,Petz: Horsez 2,DS,2007.0,Simulation,0.43,,,7.13,,E
4533,Rayman Legends,X360,2013.0,Platform,0.43,90.0,35.0,8.2,217.0,E10+
4534,Madden NFL 2003,GC,2002.0,Sports,0.43,92.0,13.0,8.5,17.0,E
4535,Backyard Baseball,GBA,2002.0,Sports,0.43,,,,,
4536,Midway Arcade Treasures,XB,2003.0,Misc,0.43,74.0,22.0,7.13,,T
4537,Disney Sing It,X360,2008.0,Misc,0.43,53.0,10.0,5.2,6.0,E
4538,Remington Great American Bird Hunt,Wii,2009.0,Sports,0.43,,,7.13,,T
4539,Microsoft Flight Simulator X,PC,2006.0,Simulation,0.43,80.0,28.0,7.6,95.0,E
4540,Bakugan: Battle Brawlers,PS2,2009.0,Action,0.43,,,5.7,7.0,E
4541,NHL FaceOff 99,PS,1997.0,Sports,0.43,,,,,
4542,SEGA Classics Collection,PS2,2005.0,Misc,0.43,46.0,18.0,6.7,6.0,T
4543,Crash: Mind Over Mutant,Wii,2008.0,Platform,0.43,70.0,13.0,6.6,16.0,E10+
4544,Naruto: Ninja Council 3,DS,2006.0,Action,0.42,56.0,23.0,6.5,13.0,E10+
4545,Dai-2-Ji Super Robot Taisen Z: Hakai-hen,PSP,2011.0,Strategy,0.42,,,,,
4546,Neon Genesis Evangelion 2nd Impression,SAT,1997.0,Role-Playing,0.42,,,,,
4547,NBA Street,GC,2002.0,Sports,0.42,88.0,15.0,8.6,7.0,E
4548,Def Jam Icon,PS3,2007.0,Action,0.42,68.0,38.0,4.4,40.0,M
4549,2014 FIFA World Cup Brazil,X360,2014.0,Sports,0.42,74.0,29.0,4.4,93.0,E
4550,The Legend of Spyro: The Eternal Night,PS2,2007.0,Platform,0.42,54.0,18.0,5.4,28.0,E10+
4551,Atelier Totori: The Adventurer of Arland,PS3,2010.0,Role-Playing,0.42,74.0,19.0,6.7,109.0,T
4552,Mega Man Battle Network,GBA,2001.0,Role-Playing,0.42,79.0,10.0,8.9,24.0,E
4553,Juiced: Eliminator,PSP,2006.0,Racing,0.42,65.0,24.0,8.2,6.0,T
4554,25 to Life,PS2,2006.0,Shooter,0.42,39.0,23.0,4.9,46.0,M
4555,NHL 2K6,PS2,2005.0,Sports,0.42,81.0,28.0,5.8,18.0,E10+
4556,Medal of Honor: Rising Sun,GC,2003.0,Shooter,0.42,68.0,24.0,6.4,13.0,T
4557,The Sims,XB,2003.0,Simulation,0.42,84.0,17.0,6.9,20.0,T
4558,Dog's Life,PS2,2003.0,Adventure,0.42,64.0,19.0,3.1,157.0,T
4559,The X Files,PS,1999.0,Adventure,0.42,,,,,
4560,Super Wagyan Land,SNES,1991.0,Action,0.42,,,,,
4561,Rascal,PS,1998.0,Action,0.42,,,,,
4562,"Barbie: Jet, Set & Style!",DS,2011.0,Misc,0.42,,,,,
